Order Id,Order Date,Title,Offer Type,Description,Purchase Quantity,Order State,Dispute Reason,Dispute Message,Price Per Unit Amount,Price Per Unit Currency,Feedback Rating,Review Message,Cancelation Reason,Cancelation Message,Total Order Amount,Total Price Currency
6472c36d-2a0d-4ac2-a65c-b5afbb3d7637,2025-11-16 14:39:08,"FROZEN KING LIMONE, CHEAP",CustomItem,Items,1,Delivered,,,1.00000,USD,Unrated,,,,1.00000,USD
ba700d42-8aaa-48b5-a160-f96482b4656a,2025-11-16 14:29:51,Esok Sekolah 🔥 180m/s | Instant Delivery,CustomItem,Items,1,Completed,,,11.00000,USD,Unrated,,,,11.00000,USD
ee232a73-557c-4f32-863a-edbecb737a04,2025-11-16 14:27:46,2 BRAINROT 1M/S,CustomItem,Items,1,Delivered,,,1.50000,USD,Unrated,,,,1.50000,USD
4a93c551-f7b4-4373-ae42-eb397a51843c,2025-11-16 14:23:29,2 BRAINROT 1M/S,CustomItem,Items,1,Completed,,,1.50000,USD,Positive,GGWP!,,,1.50000,USD
d65fe864-0f60-45ad-8dae-7c3c24218455,2025-11-16 14:21:41,2 BRAINROT 1M/S,CustomItem,Items,2,Delivered,,,1.50000,USD,Unrated,,,,3.00000,USD
69688f0b-372a-425d-a683-fc59af456be8,2025-11-16 14:13:55,Chicleteira Bicicleteira 4.3 m/s - Way,CustomItem,Items,1,Completed,,,2.00000,USD,Unrated,,,,2.00000,USD
480f83a9-e001-4c13-981d-dc94437fa190,2025-11-16 14:03:36,"1 DIAMOND MANGO, MANGO,",CustomItem,Items,1,Delivered,,,1.00000,USD,Unrated,,,,1.00000,USD
15a876a0-fecd-4303-b301-8b9af46093ac,2025-11-16 13:44:41,Mieteteira Bicicleteira 104 m/s - Way,CustomItem,Items,1,Delivered,,,4.00000,USD,Unrated,,,,4.00000,USD
c3be6973-92e2-48eb-b270-7aaf895271ac,2025-11-16 13:44:12,FROZEN MANGO,CustomItem,Items,1,Completed,,,1.00000,USD,Unrated,,,,1.00000,USD
c949be79-8d6b-468e-a2c1-8aa80ef22a00,2025-11-16 13:42:56,FROZEN MANGO,CustomItem,Items,2,Delivered,,,1.00000,USD,Unrated,,,,2.00000,USD
7bb65fda-a115-4a25-84fb-05e624653c4a,2025-11-16 13:37:53,Spaghetti Tualetti radioactive  510 M/S - WAY,CustomItem,Items,1,Delivered,,,30.00000,USD,Unrated,,,,30.00000,USD
08f8c931-ec92-4455-b50f-fcf7da2358a0,2025-11-16 13:29:57,Esok Sekolah 150m/s | Instant Delivery,CustomItem,Items,1,Completed,,,10.00000,USD,Positive,GGWP!,,,10.00000,USD
8a3b80e4-e9d9-44e2-9034-668bd1a254d5,2025-11-16 13:23:18,Los Mobilis 132 M/s | Instant Delivery | J,CustomItem,Items,1,Delivered,,,5.00000,USD,Unrated,,,,5.00000,USD
273b2d06-c83e-417a-927f-ad97bb53916d,2025-11-16 13:15:09,FROZEN MANGO,CustomItem,Items,1,Delivered,,,1.00000,USD,Unrated,,,,1.00000,USD
d80f945c-a043-461d-94fd-24d9e0c93e33,2025-11-16 13:14:59,"FROZEN KING LIMONE, CHEAP",CustomItem,Items,2,Delivered,,,1.00000,USD,Unrated,,,,2.00000,USD
c80e651f-1ce2-46c6-92ad-c97fe832ee9e,2025-11-16 13:07:38,Galaxy Los Mobilis  154 m/s - Way,CustomItem,Items,1,Completed,,,6.00000,USD,Positive,fast,,,6.00000,USD
65af1ab1-8328-4d47-8bff-cfba50c6475f,2025-11-16 13:02:09,1 RUBY MANGO,CustomItem,Items,1,Completed,,,2.00000,USD,Unrated,,,,2.00000,USD
546ddffa-40e5-42a6-8833-fbe81603b77c,2025-11-16 12:59:31,2 FROZEN MANGO,CustomItem,Items,1,Delivered,,,1.50000,USD,Unrated,,,,1.50000,USD
0da949ff-8a4e-4ac6-a10e-4487e29e4bc0,2025-11-16 12:57:08,2 BRAINROT 1M/S,CustomItem,Items,1,Completed,,,1.50000,USD,Unrated,,,,1.50000,USD
b48d6ba6-66f9-4b1b-a106-44de9bae2e78,2025-11-16 12:28:51,2 BRAINROT 1M/S,CustomItem,Items,1,Completed,,,1.50000,USD,Positive,Fast!,,,1.50000,USD
d1cf7700-ded6-429c-8ebc-332b86984255,2025-11-16 11:29:45,Los 67 Radioactive 191m/s | Instant Delivery | y,CustomItem,Items,1,Completed,,,11.00000,USD,Positive,"Best dealer ",,,11.00000,USD
dfe4c2a2-656a-4c7f-b55c-4d5310e03c99,2025-11-16 11:26:49,FROZEN MANGO,CustomItem,Items,1,Completed,,,1.00000,USD,Unrated,,,,1.00000,USD
fe85685a-5392-4d80-8f86-c1b9c3febd93,2025-11-16 11:22:12,2 BRAINROT 1M/S,CustomItem,Items,1,Completed,,,1.50000,USD,Unrated,,,,1.50000,USD
a0857f3a-11a2-4dbc-b556-20167d19819a,2025-11-16 11:20:35,FROZEN MANGO,CustomItem,Items,5,Completed,,,1.00000,USD,Unrated,,,,5.00000,USD
2637d3b8-cfb8-46eb-9929-f38decdea0b1,2025-11-16 10:54:25,FROZEN MANGO,CustomItem,Items,1,Delivered,,,1.00000,USD,Unrated,,,,1.00000,USD
e92f99a9-47af-4ab1-9e59-38404b9e0e70,2025-11-16 10:36:29,Esok Sekolah 30 m/s - Way,CustomItem,Items,1,Completed,,,3.50000,USD,Unrated,,,,3.50000,USD
903b74c2-ee26-4845-a1be-87cd67887405,2025-11-16 10:24:29,2 FROZEN MANGO,CustomItem,Items,4,Completed,,,1.50000,USD,Unrated,,,,6.00000,USD
32a24c3e-b0d6-4049-ac79-8f51de323661,2025-11-16 10:19:18,"FROZEN KING LIMONE, CHEAP",CustomItem,Items,1,Delivered,,,1.00000,USD,Unrated,,,,1.00000,USD
ea83df05-9948-40f6-9cdc-9dd1a6d06d22,2025-11-16 10:00:44,Los 67 Radioactive 191.2 M/s | Instant Delivery | J,CustomItem,Items,1,Delivered,,,11.00000,USD,Unrated,,,,11.00000,USD
66a45540-aa8b-431a-bb4d-279b77736275,2025-11-16 09:56:07,Los 67 Lava 🔥 202m/s | Instant Delivery | y,CustomItem,Items,1,Completed,,,12.00000,USD,Positive,W,,,12.00000,USD
b3455f6c-7d35-48db-868c-0d2d3492ac97,2025-11-16 09:43:21,Los 67 Radioactive 191m/s | Instant Delivery | y,CustomItem,Items,1,Delivered,,,11.00000,USD,Unrated,,,,11.00000,USD
1ed9ebf9-826f-4f25-9d82-33094d15f04a,2025-11-16 08:57:35,Mieteteira Bicicleteira Yin Yang 195m/s | Instant Delivery,CustomItem,Items,1,Delivered,,,8.00000,USD,Unrated,,,,8.00000,USD
90cccffc-6a3d-47d2-b844-882d50561a1b,2025-11-16 08:51:11,Mieteteira Bicicleteira Yin Yang 195m/s | Instant Delivery,CustomItem,Items,1,Completed,,,8.00000,USD,Positive,"really fast, thank you!",,,8.00000,USD
04634ff5-822f-450e-871b-a1b762d682a4,2025-11-16 07:53:00,FROZEN MANGO,CustomItem,Items,1,Delivered,,,1.00000,USD,Unrated,,,,1.00000,USD
080aad78-0025-4812-a4ea-066152af5993,2025-11-16 07:48:20,Any 2 Brainrot God | Instant Delivery,CustomItem,Items,1,Canceled,,,1.00000,USD,Unrated,,Buyer_Did_Not_Respond,,1.00000,USD
