Order Id,Order Date,Title,Offer Type,Description,Purchase Quantity,Order State,Dispute Reason,Dispute Message,Price Per Unit Amount,Price Per Unit Currency,Feedback Rating,Review Message,Cancelation Reason,Cancelation Message,Total Order Amount,Total Price Currency
0f417b38-074e-4297-9e2e-654ba73fa477,2025-09-29 11:29:39,,RequestedBoosting,Rank Boost,1,Completed,,,25.00000,USD,Positive,The seller is very respectful and deserves all the support. Excellent service and great communication,,,25.00000,USD
7a8857d8-d7fc-4cd9-ad87-7b0c9226af9c,2025-09-29 02:05:35,"TITAN SEA TURTLE AGE 100, WEIGHT (60KG - 64KG) MUTATION WILL BE GOLD OR RAINBOW. WEIGHT RANDOM BASED ON STOCK",CustomItem,Items,1,Completed,,,25.00000,USD,Positive,GGWP!,,,25.00000,USD
9e18deb3-4f25-4737-a82e-a84131132191,2025-09-27 20:27:31,"TITAN SEA TURTLE AGE 100, WEIGHT (60KG - 64KG) MUTATION WILL BE GOLD OR RAINBOW. WEIGHT RANDOM BASED ON STOCK",CustomItem,Items,1,Completed,Other,"Seller took took too long as In listed in description ",20.00000,USD,Positive,,,,20.00000,USD
33a5639e-a85b-4c92-8bb1-cf1eff82e195,2025-09-27 03:49:26,,RequestedBoosting,Rank Boost,1,Completed,,,20.00000,USD,Positive,Always delivers perfectly. Really appreciate it every time!,,,20.00000,USD
a31cceaa-9a04-480f-b96b-2215de2abd54,2025-09-26 08:16:53,,RequestedBoosting,Custom Request,1,Completed,,,10.00000,USD,Positive,Fast work thanks,,,10.00000,USD
1d0bec57-1538-4f46-af2c-8feb358c5b52,2025-09-23 12:51:06,"TITAN SEA TURTLE AGE 100, WEIGHT (70KG - 74KG) MUTATION WILL BE GOLD OR RAINBOW. WEIGHT RANDOM BASED ON STOCK",CustomItem,Items,1,Completed,,,40.00000,USD,Positive,GGWP!,,,40.00000,USD
b140ec05-6965-47cf-9d9a-1cf4941e5ffc,2025-09-22 11:57:38,"TITANCAPYBARA MAX AGE 100, MAX KG65-69KG, MUTATION RANDOM CAN BE RAINBOW GOLD. WEIGHT RANDOM BASED ON STOCK",CustomItem,Items,1,Completed,,,20.00000,USD,Positive,took a hour but gave me a bigger cappy than expected,,,20.00000,USD
035176c4-5e0b-4067-80d9-d9abeda3ce76,2025-09-22 11:28:35,"TITAN SEA TURTLE AGE 100, WEIGHT (70KG - 74KG) MUTATION WILL BE GOLD OR RAINBOW. WEIGHT RANDOM BASED ON STOCK",CustomItem,Items,1,Completed,,,40.00000,USD,Positive,,,,40.00000,USD
8ac636dd-8f8c-486f-9a19-34333f024403,2025-09-22 08:18:06,"TITAN SEA TURTLE AGE 100, WEIGHT (70KG - 74KG) MUTATION WILL BE GOLD OR RAINBOW. WEIGHT RANDOM BASED ON STOCK",CustomItem,Items,1,Canceled,Item_Not_As_Described,"Different order ",40.00000,USD,Unrated,,Mutual_Agreement,,40.00000,USD
2c79a2ed-41df-4a63-a2be-e3b105f46dc6,2025-09-22 04:37:53,"TITAN PEACOCK AGE 100, WEIGHT (75KG - 79KG) MUTATION WILL BE RANDOM GOLD OR RAINBOW WEIGHT RANDOM BASED ON STOCK",CustomItem,Items,1,Completed,,,100.00000,USD,Positive,"good communication ",,,100.00000,USD
6802ec94-7e49-429a-8fa3-b85ac6e77296,2025-09-21 06:22:17,"TITAN SEA TURTLE AGE 100, WEIGHT (85KG - 89KG) MUTATION WILL BE GOLD OR RAINBOW. WEIGHT RANDOM BASED ON STOCK",CustomItem,Items,1,Completed,,,70.00000,USD,Positive,GGWP!,,,70.00000,USD
66a3b1b3-56ad-40bd-a4ed-7f0604b1b85f,2025-09-20 10:14:53,MEGA RACOON NO DUPE OR CLEAN WEIGHT 20+ (RANDOM BASED ON STOCK),CustomItem,Items,1,Canceled,,,18.00000,USD,Unrated,,Mutual_Agreement,,18.00000,USD
d134092d-cbda-491d-a857-ea80c195c122,2025-09-17 15:17:19,,RequestedBoosting,Custom Request,1,Completed,,,2.00000,USD,Positive,,,,2.00000,USD
c4db5e93-7ca3-4b80-b1b0-d1652873e54a,2025-09-17 08:47:27,,RequestedBoosting,Custom Request,1,Completed,,,6.00000,USD,Positive,perfect,,,6.00000,USD
45919119-c4ed-4c85-8fe1-e26fa44617ec,2025-09-15 19:42:26,"TITANCAPYBARA MAX AGE 100, MAX KG 70-74KG, MUTATION CAN BE RAINBOW OR GOLD . WEIGHT RANDOM BASED ON STOCK",CustomItem,Items,1,Completed,,,25.00000,USD,Positive,great service,,,25.00000,USD
dbf98f70-2020-402d-84b6-0ce8c9f42d3a,2025-09-15 14:46:58,"HUGE PEACOCK AGE 100, WEIGHT (60KG - 64KG) MUTATION RANDOM GOLD OR RAINBOW, ETC. WEIGHT RANDOM BASED ON STOCK",CustomItem,Items,2,Completed,,,40.00000,USD,Positive,,,,80.00000,USD
8f8147ce-ab3e-43f0-a04f-d3941930d3ed,2025-09-14 23:30:46,"TITAN SEA TURTLE AGE 100, WEIGHT (85KG - 89KG) MUTATION WILL BE GOLD OR RAINBOW. WEIGHT RANDOM BASED ON STOCK",CustomItem,Items,1,Completed,Item_Not_As_Described,Seller has informed me that he does not have the item to deliver. I kindly request a cancellation.,75.00000,USD,Positive,,,,75.00000,USD
1991a11f-48e5-4cfb-afff-6f39f741076f,2025-09-14 15:03:07,,RequestedBoosting,Custom Request,1,Completed,,,13.50000,USD,Positive,"Super fast great service and very kind ",,,13.50000,USD
e20c34f7-9f45-4458-827e-929415980bc4,2025-09-13 06:57:45,"TITANCAPYBARA (MUTATED) MAX AGE 100, MAX KG 80-84, MUTATION RANDOM GOLD OR RAINBOW. WEIGHT RANDOM BASED ON STOCK",CustomItem,Items,2,Completed,,,30.00000,USD,Positive,"super reliable and very friendly, would definitely buy from him again",,,60.00000,USD
08e0b3b9-3716-4a41-be33-a50b917ff4d4,2025-09-13 03:42:24,"TITANCAPYBARA MAX AGE 100, MAX KG 70-74KG, MUTATION CAN BE RAINBOW OR GOLD . WEIGHT RANDOM BASED ON STOCK",CustomItem,Items,2,Completed,,,25.00000,USD,Positive,"Tysm very helpful
",,,50.00000,USD
c385e647-1886-471e-9e5e-dac058d79fb2,2025-09-13 02:06:46,,RequestedBoosting,Rank Boost,1,Completed,,,7.50000,USD,Positive,The best,,,7.50000,USD
d149a962-348d-4a33-8024-7cec4f4ffb54,2025-09-10 06:16:44,"TITAN PEACOCK AGE 100, WEIGHT (80KG - 84KG)  (I'LL PRIORITAZE GOLD OR RAINBOW FIRST IF POSSIBLE FROM MUTATE)  WEIGHT RANDOM BASED ON STOCK",CustomItem,Items,1,Completed,,,110.00000,USD,Positive,"W item and seller tysm! ",,,110.00000,USD
e9eb0568-c22c-4ae8-af90-1a260e29acf2,2025-09-09 16:01:31,"TITANCAPYBARA MAX AGE 100, MAX KG65-69KG, MUTATION RANDOM CAN BE RAINBOW GOLD OR ETC (I TRY MUTATED RAINBOW FIRST). WEIGHT RANDOM BASED ON STOCK",CustomItem,Items,1,Completed,,,20.00000,USD,Positive,,,,20.00000,USD
47952aa5-22fa-470a-a289-f949c887db9c,2025-09-09 06:14:10,"TITANCAPYBARA (MUTATED) MAX AGE 100, MAX KG 70-74KG, MUTATION RANDOM CAN BE RAINBOW GOLD OR ETC (I PRIORITAZE RAINBOW). WEIGHT RANDOM BASED ON STOCK",CustomItem,Items,1,Completed,,,25.00000,USD,Positive,GGWP!,,,25.00000,USD
